timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-22T16:07:11.643434,1790000000,-20,11,11.087688446100003,-32.59359999999998,10.907600000000004,129081.0,True,0.0
2016-12-22T16:07:20.744955,1790000000,-20,12,12.056785583499995,-32.658400000000015,11.923600000000004,129081.0,True,0.0
2016-12-22T16:07:30.042486,1790000000,-20,13,13.082927703800003,-32.71120000000002,12.848000000000011,129071.88,True,0.0
2016-12-22T16:07:39.379020,1790000000,-20,14,14.076065063500003,-32.72489795918369,13.849387755102041,129081.0,True,0.0
2016-12-22T16:07:48.736556,1790000000,-20,15,15.1202583313,-32.86519999999998,14.720399999999993,129076.44,True,0.0
2016-12-22T16:07:58.082090,1790000000,-20,16,16.0610160827,-32.85551020408163,15.963877551020408,129081.0,True,0.0
2016-12-22T16:08:07.398623,1790000000,-20,17,17.2102813721,-32.89061224489796,16.72122448979593,129081.0,True,0.0
2016-12-22T16:08:16.737157,1790000000,-20,18,18.215465545600004,-32.92320000000003,17.646000000000004,129076.44,True,0.0
2016-12-22T16:08:26.036689,1790000000,-20,19,19.203956604,-32.93480000000001,18.965999999999998,129076.44,True,0.0
2016-12-22T16:08:35.414225,1790000000,-20,20,20.2190780639,-32.91653061224491,20.079591836734693,129081.0,True,0.0
2016-12-22T16:08:44.782761,1810000000,-20,8,8.0755882264,-32.005918367346936,8.048979591836737,135056.306122449,True,0.0
2016-12-22T16:08:53.851280,1810000000,-20,9,9.045398712199997,-32.21280000000002,8.960400000000005,135056.4,True,0.0
2016-12-22T16:09:03.381825,1810000000,-20,10,10.050750732399997,-32.28857142857141,9.991224489795924,135061.0,True,0.0
2016-12-22T16:09:12.466345,1810000000,-20,11,11.0436401368,-32.366122448979624,10.939183673469392,135056.306122449,True,0.0
2016-12-22T16:09:21.598867,1810000000,-20,12,12.0560798645,-32.411428571428594,11.881428571428575,135056.306122449,True,0.0
2016-12-22T16:09:30.943402,1810000000,-20,13,13.0829353333,-32.43800000000002,12.829200000000004,135061.0,True,0.0
2016-12-22T16:09:40.298937,1810000000,-20,14,14.117122650199995,-32.48163265306124,13.798367346938772,135061.0,True,0.0
2016-12-22T16:09:49.614469,1810000000,-20,15,15.062435150200002,-32.48755102040816,14.783469387755105,135061.0,True,0.0
2016-12-22T16:09:58.946003,1810000000,-20,16,16.051422119200005,-32.634800000000034,15.816799999999995,135056.4,True,0.0
2016-12-22T16:10:08.270537,1810000000,-20,17,17.215007782,-32.64320000000002,16.587600000000005,135061.0,True,0.0
2016-12-22T16:10:17.589070,1810000000,-20,18,18.2196502686,-32.66020408163265,17.456530612244897,135056.306122449,True,0.0
2016-12-22T16:10:26.858600,1810000000,-20,19,19.196632385199997,-32.667200000000015,18.402400000000004,135056.4,True,0.0
2016-12-22T16:10:36.158132,1810000000,-20,20,20.2042007446,-32.70120000000002,20.05359999999999,135056.4,True,0.0
2016-12-22T16:10:45.558669,1830000000,-20,8,8.051956176799997,-31.930800000000026,7.995999999999999,142231.44,True,0.0
