timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz)
2016-12-16T10:14:34.313214,650000000,20,-46.7067451477,19.6604156494,112.920761108
2016-12-16T10:14:42.150662,670000000,8,-46.2284240723,9.26515960693,-66022.3125
2016-12-16T10:14:49.550085,670000000,9,-46.3183937073,9.89479255676,-11018.9980469
2016-12-16T10:14:57.034513,670000000,10,-46.3372802734,10.6488418579,106.776321411
2016-12-16T10:15:04.566944,670000000,11,-46.3706092834,11.4550485611,123.220924377
2016-12-16T10:15:11.848361,670000000,12,-46.4433746338,12.2310504913,89.9600906372
2016-12-16T10:15:19.269785,670000000,13,-46.5003395081,13.1485157013,108.542892456
2016-12-16T10:15:26.621206,670000000,14,-46.5308761597,14.0501966476,117.870620728
2016-12-16T10:15:34.107634,670000000,15,-46.5329666138,15.010892868,115.827781677
2016-12-16T10:15:41.608063,670000000,16,-46.5911483765,15.99061203,121.793121338
2016-12-16T10:15:49.037488,670000000,17,-46.5977249146,16.9872913361,116.73223877
2016-12-16T10:15:56.420910,670000000,18,-46.5975265503,18.0005664825,114.418441772
2016-12-16T10:16:03.740329,670000000,19,-46.6180381775,18.9512748718,112.194168091
2016-12-16T10:16:11.070748,670000000,20,-46.6256980896,19.926940918,118.684768677
2016-12-16T10:16:18.672183,690000000,8,-46.0918807983,9.24562263489,34702.5742188
2016-12-16T10:16:26.039604,690000000,9,-46.220085144,9.93400192261,25416.078125
2016-12-16T10:16:33.510032,690000000,10,-46.3085708618,10.6342840195,160.530822754
2016-12-16T10:16:40.886453,690000000,11,-46.4203872681,11.4118967056,107.122375488
2016-12-16T10:16:48.353881,690000000,12,-46.4109191895,12.2272949219,131.835784912
2016-12-16T10:16:55.639297,690000000,13,-46.4196128845,13.1103029251,115.877609253
2016-12-16T10:17:03.042721,690000000,14,-46.4804611206,14.0457649231,107.528915405
2016-12-16T10:17:10.418143,690000000,15,-46.4925918579,14.9811210632,129.571304321
2016-12-16T10:17:17.756562,690000000,16,-46.5277252197,15.9732322693,126.319595337
2016-12-16T10:17:25.114983,690000000,17,-46.5288352966,16.9596157074,119.494178772
2016-12-16T10:17:32.615412,690000000,18,-46.5834655762,17.9446258545,111.031677246
2016-12-16T10:17:39.991834,690000000,19,-46.5591278076,18.928478241,133.566360474
2016-12-16T10:17:47.279251,690000000,20,-46.5662460327,19.8854465485,112.803359985
2016-12-16T10:17:54.921688,710000000,8,-46.237651825,9.21118927002,113657.15625
2016-12-16T10:18:02.446118,710000000,9,-46.3112258911,9.88767433167,-1295.59924316
2016-12-16T10:18:09.822540,710000000,10,-46.4219741821,10.5604734421,85.8951568604
2016-12-16T10:18:17.218963,710000000,11,-46.481086731,11.2901992798,126.458251953
2016-12-16T10:18:24.753394,710000000,12,-46.5050430298,12.1036157608,88.263130188
2016-12-16T10:18:32.137817,710000000,13,-46.5254249573,12.9524459839,109.629699707
2016-12-16T10:18:40.324285,710000000,14,-46.6686859131,13.7176094055,125.63910675
2016-12-16T10:18:47.798712,710000000,15,-46.6121520996,14.728931427,125.203491211
2016-12-16T10:18:55.187135,710000000,16,-46.640914917,15.6676530838,116.382240295
2016-12-16T10:19:02.555556,710000000,17,-46.6701927185,16.5408573151,115.384620667
2016-12-16T10:19:10.101988,710000000,18,-46.6745529175,17.3479232788,133.101211548
2016-12-16T10:19:17.555414,710000000,19,-46.6866035461,18.2319946289,117.669075012
2016-12-16T10:19:24.935837,710000000,20,-46.6708030701,19.0455760956,116.99131012
2016-12-16T10:19:32.657278,730000000,8,-46.2747268677,9.19118022919,-84929.7109375
2016-12-16T10:19:40.073702,730000000,9,-46.3509712219,9.86333656311,22861.6855469
2016-12-16T10:19:47.488126,730000000,10,-46.3969459534,10.5989837646,107.859207153
2016-12-16T10:19:54.839547,730000000,11,-46.4684257507,11.3407249451,122.774169922
2016-12-16T10:20:02.275972,730000000,12,-46.5677909851,12.1476745605,164.600448608
2016-12-16T10:20:09.558389,730000000,13,-46.5796012878,13.0093727112,132.283752441
2016-12-16T10:20:16.974813,730000000,14,-46.6209526062,13.8994159698,122.084640503
2016-12-16T10:20:24.357235,730000000,15,-46.6643447876,14.8216171265,113.58014679
2016-12-16T10:20:31.692655,730000000,16,-46.6665802002,15.7444839478,132.689865112
2016-12-16T10:20:39.093078,730000000,17,-46.6943817139,16.6424293518,122.024864197
2016-12-16T10:20:46.439498,730000000,18,-46.7211380005,17.5584659576,127.209365845
2016-12-16T10:20:53.774918,730000000,19,-46.7572822571,18.3668479919,122.757301331
2016-12-16T10:21:01.192342,730000000,20,-46.7349052429,19.2695579529,124.480476379
2016-12-16T10:21:08.993788,970000000,8,-46.7028465271,9.24654769897,-87619.765625
